dateRep,Outflow HHP1,Inflow  HPP1,Inflow HPP2,Production HPP1,Production HPP2
2012/05/07,285.33185321616827,126.55760463579276,50.866540538609115,6809.642484000002,6745.806662000001
2012/05/08,275.5092344274009,83.48776773511982,54.08572882116471,4576.800364000001,4566.595824000001
2012/05/09,184.98556531523468,102.50334091047043,45.43061370126995,4323.153318000001,4249.364129999999
2012/05/10,175.18670926769747,83.47752705046196,47.09480188249307,6401.269956,6478.928403
2012/05/11,259.9585444868037,109.39124662870995,38.61175343094203,6709.916716,6354.139580999999
2012/05/12,273.01159342186355,121.53477559146597,40.50670963453388,7301.404113,6200.544561999999
2012/05/13,297.9312894110632,149.83454215302626,40.6605806980794,6759.668617,6886.728477999999
2012/05/14,276.4692712215691,158.26740035423586,29.403867571805336,6842.872544999999,7076.589306999999
2012/05/15,280.0463869491247,177.99855090292385,35.765949285472914,4672.754965,5693.270651000002
2012/05/16,190.81070388238797,175.98268898193092,43.8479268896462,4961.316743,4867.590180000002
2012/05/17,202.4291195927344,128.28014336183568,33.5658315299074,5111.101554000001,5264.538475000001
2012/05/18,208.36269687594577,113.17026195671637,30.51896292896089,5321.543412000001,5287.527917
2012/05/19,217.21082402670453,139.68328398612226,32.79907564444622,5538.933803,5427.138255999999
2012/05/20,225.98136205644758,91.52777621510299,30.129705366903522,5581.167704,5277.145754000001
2012/05/21,228.02066110902197,125.25227895790606,25.918906320082414,5949.854867999999,5415.659401000002
2012/05/22,243.4615424969739,78.29653810283455,29.083630362290137,5965.928018,5054.429387000002
2012/05/23,244.76592732198569,86.05496719722208,27.899791698006,5215.80361,4870.855229
2012/05/24,214.65885308334177,130.47396725475164,36.52557581360901,4964.896206,5367.682982999999
2012/05/25,204.64228081175332,131.25338446819998,28.618302528501687,5272.173145000002,5415.356432
2012/05/26,217.21616779526298,96.56294190535951,36.422810031393965,5094.791297,5260.059049
2012/05/27,209.9446688492583,113.94338249533398,24.649929736626774,5193.344574999999,5227.299221999999
2012/05/28,214.13571331844818,123.75659033421294,30.908893610520863,5408.551146000001,5346.879419999999
2012/05/29,223.27325164049628,116.51292074038189,30.489628686219675,5442.119207,5048.037844
2012/05/30,224.97870174271918,108.7512427727956,25.228572013634107,5035.0556639999995,5009.884118000001
2012/05/31,208.39099515585846,129.77497226795617,27.637982157626794,5612.0097719999985,5382.196815999999
2012/06/01,232.48050091646527,77.62033806119436,25.192161021636537,5549.265331999999,5670.950014000003
2012/06/02,229.99789109898074,120.612687209422,20.670150675302295,6311.207128999999,6349.065069000001
2012/06/03,261.5982982884765,98.42787633229045,25.942863792698063,6402.716933,6252.720803000002
2012/06/04,265.5791373607498,68.49285691128563,21.452142270011905,6209.938232,5909.508651
2012/06/05,258.0494178029372,81.26530964996866,27.282859126401604,6182.381249000001,6041.134424000001
2012/06/06,257.08652401401747,81.7583239401059,27.68317582897606,5911.183218000002,5639.0445690000015
2012/06/07,246.37398797271993,72.329144648149,19.82172755037419,7105.128449000002,5774.408901999998
2012/06/08,297.8056758783755,61.651909658915486,25.13687787108256,6664.058246,6772.858223999999
2012/06/09,279.54259647740565,45.403431639845564,27.488506326323716,7910.094708999999,6421.827867999999
2012/06/10,332.94768265218863,49.001705223888735,24.518936033947966,7258.213768999999,6320.355950000002
2012/06/11,307.0551268900085,40.47190817412894,29.976260370236332,7259.857198999998,6567.020737000001
2012/06/12,308.339859060472,41.56659415140376,40.485438341205054,6785.248326000002,6119.262752000001
2012/06/13,289.3051970870613,73.49836118064604,20.851122941650146,5780.238509000001,6501.480495999999
2012/06/14,247.3389662958872,34.80943555757591,24.27120837048352,6493.171471,6426.902389999999
2012/06/15,277.80031863124833,59.910827559944664,28.63695545457,6505.529842,6457.913957000001
2012/06/16,279.2688348914232,114.48077311321013,16.582370615011342,5594.114539999999,6403.9496659999995
2012/06/17,240.35688133775886,90.21192351591432,21.625331172458516,4769.023540000001,6365.830995000002
2012/06/18,204.41428583957702,60.64279405399992,21.28375316440676,5166.988566000001,6434.560609999998
2012/06/19,221.02189167573042,55.45418919298834,21.32202863514891,5433.667609000001,6423.631772000001
2012/06/20,232.05448977690563,70.93155652745352,17.028397668104333,4821.099026000001,6480.705303000001
2012/06/21,205.19899353678093,41.758099288874234,27.367517353185377,5784.242318,6143.100173000004
2012/06/22,246.5648386800645,41.238802670235714,26.96586876247892,7527.733652000002,5286.148291000001
2012/06/23,322.8535862906437,46.84333963055508,17.869018902753197,5891.502412000002,6564.245599999999
2012/06/24,253.56021371147983,28.521467775816888,25.0,5540.878141,7051.171669999998
2012/06/25,237.991327680983,34.059835591244905,11.563063146295065,6132.4963990000015,6474.095366
2012/06/26,263.59729460811025,42.25726973942329,27.589206602235038,7784.162484,5145.292955999999
2012/06/27,337.5542119584663,40.698430071570385,45.919901496234786,7094.835199000002,3756.272986
2012/06/28,310.61827153217473,46.95852892103224,25.833720895704232,6086.283912,4375.000645999999
2012/06/29,268.6260659238403,61.988130964947516,15.54700518011606,6142.8893689999995,5140.741484999999
2012/06/30,272.85902046334576,83.7365420378741,16.41520250655003,5993.987710000003,5913.717951
2012/07/01,267.38271496045775,89.232639583906,23.822284390792476,5346.808557,6496.852500000003
2012/07/02,238.3691807775245,86.94347221555711,12.0,5787.047258,5807.581587
2012/07/03,258.28951297519484,54.78974691400157,15.596784308738961,6030.529538999999,6021.743607999999
2012/07/04,269.84326546205983,75.91667762331826,12.508054484459763,5662.746899000002,5152.474063999999
2012/07/05,254.44134048619856,64.28669670639405,16.64255294295708,5033.837476999999,5799.718600999999
2012/07/06,226.17374270056695,65.80476487425508,17.731725782957284,5647.296633999999,5429.347797
2012/07/07,255.0630472426498,70.25064794802017,20.492788387972723,5882.6644479999995,5026.802503
2012/07/08,266.8196672343209,63.4201336032132,11.859419782667203,5660.314982999999,5329.228802
2012/07/09,257.9727489761426,71.02920994598927,15.12416305961122,4849.714832000001,6511.562190000003
2012/07/10,220.72732113852632,51.752863197964075,20.17889965405402,5238.863862000001,5590.612451999999
2012/07/11,238.7839154754599,94.12837680604122,13.5324233951346,5397.639461999999,5424.6349450000025
2012/07/12,246.76746170244917,79.1086136167745,14.076477882806984,5535.797406999998,5667.2804639999995
2012/07/13,253.61951143924827,78.4043637635877,16.447905680998986,5653.231142000001,5303.474247999999
2012/07/14,260.0077533234621,68.80648238965813,14.185731207053777,6286.319458000001,5269.525631
2012/07/15,291.10485555313824,115.28069987513638,11.963023776679222,5998.800175999999,5783.990665999997
2012/07/16,279.5294008646654,115.6637256336374,19.997700329908753,5762.246832000001,5755.969829
2012/07/17,269.538423628551,122.43509936180189,15.0,5284.847555000001,6396.062473000002
2012/07/18,247.04131955978795,118.46347612815177,16.82851365042174,5415.647456000001,5944.273531
2012/07/19,253.11526965765205,81.8861347774232,14.896375651248832,5631.9057189999985,5537.090238
2012/07/20,264.4516513506945,87.39476759679613,25.952659484559604,5939.177914000001,5311.252939000001
2012/07/21,280.110036006806,92.44954909896629,9.551398171621202,5446.89726,6598.172243
2012/07/22,257.42071572443814,64.10284093933473,11.726746906797814,5516.846909,5760.519925999999
2012/07/23,261.17321818558435,75.00604638066378,19.30876186433005,5224.070616999999,5607.904468999999
2012/07/24,248.03502344624164,78.34231947840948,21.58093358690735,5355.878882,5708.873392000001
2012/07/25,255.07649979491228,71.2898924433365,19.174524738753576,5219.848676999999,5775.224607000001
2012/07/26,249.12293367755177,44.19427259555283,13.989082193078957,5222.713857000001,6474.4962639999985
2012/07/27,249.7305194065773,53.82827094314723,12.544415331090988,4941.678381,6251.587379999999
2012/07/28,236.10870715489094,71.17985028353397,22.961821406455073,4878.223812999999,5235.036741
2012/07/29,234.04855405520206,103.5136693083083,18.0,5186.536134000001,5590.608839999999
2012/07/30,249.81133295394432,112.33272606249301,14.108688234476006,5697.617106999999,5542.017016
2012/07/31,275.68561750044483,118.66316867191782,12.890233355692942,5031.4851020000015,5636.220764
2012/08/01,244.26466760495111,106.84593353702653,13.0,5139.580554000001,5593.3722720000005
2012/08/02,249.71897652664683,75.78362643018289,14.208655652630028,4963.464355,5530.275812000003
2012/08/03,241.80848561151288,58.25526467135319,20.954450562541695,5918.702989,4883.598553999999
2012/08/04,290.23030055175593,64.79158568545665,23.572734103228584,6192.439762,4849.876959999999
2012/08/05,307.48528983669644,70.40699153377702,19.445348669544842,5290.563364,5689.379911
2012/08/06,264.7831123159147,65.01565608132495,17.0,5246.784255,5638.580800999999
2012/08/07,263.8363192361369,46.629045462445646,24.312227017811153,4809.500648000001,5917.788131999999
2012/08/08,242.84271779027483,55.9328288876671,13.338302589170745,1106.297707,2860.745341
2012/08/09,55.76017058703013,53.460378361385764,18.929716782737884,1655.005758,2179.8440360000004
2012/08/10,83.24093523453885,39.46849309852392,12.051530837974227,2142.1353360000003,2661.0963210000004
2012/08/11,107.9210425900877,33.095428198561294,12.934756959209167,1860.8663179999994,2860.100177000001
2012/08/12,93.76107992182123,59.176506247032876,14.851328510260004,1646.274334,3018.3690879999995
2012/08/13,82.69206376848969,42.94991437203062,13.605837196105867,1985.6649330000002,2657.127119999999
2012/08/14,99.72858778301426,40.0,14.512488814570588,2284.5021489999995,2989.525874
2012/08/15,114.69960198978073,28.840752766607935,16.977351947502697,2458.9048759999996,1844.328242
2012/08/16,123.90743377153738,36.703807825031106,16.916248624729292,2911.364549000001,1736.5148489999997
2012/08/17,148.30310931763955,30.188408194000104,17.093094253570115,3028.879605999999,2878.520610000001
